...1,Year,Treatments,DepNH4,DepNO3,DepP,DepBC,DepSO4,DepHCO3,DepCl,Nin_i,P2O5in_i,K2Oin_i,Nin_o,Pin_o,Kin_o,Cain_o,Mgin_o,Nain_o,Sin_o,Clin_o,Cin_o,c1_yield_grain,c1_yield_straw,N_c1_grain,P_c1_grain,K_c1_grain,Ca_c1_grain,Mg_c1_grain,Na_c1_grain,S_c1_grain,Cl_c1_grain,N_c1_straw,P_c1_straw,K_c1_straw,Ca_c1_straw,Mg_c1_straw,Na_c1_straw,S_c1_straw,Cl_c1_straw,c2_yield_grain,c2_yield_straw,N_c2_grain,P_c2_grain,K_c2_grain,Ca_c2_grain,Mg_c2_grain,Na_c2_grain,S_c2_grain,Cl_c2_grain,N_c2_straw,P_c2_straw,K_c2_straw,Ca_c2_straw,Mg_c2_straw,Na_c2_straw,S_c2_straw,Cl_c2_straw,w,Wsur,Ph,Nfix,BC_we,BC_poolchange,Manure_mount,Ph_manure,Water_manure,CaCO3_decrease_eq,...69,Pin_i,Sin_i,Cain_i,Kin_i,Clin_i,C1_N,C1_P,C1_K,C1_Ca,C1_Mg,C1_Na,C1_S,C1_Cl,C2_N,C2_P,C2_K,C2_Ca,C2_Mg,C2_Na,C2_S,C2_Cl,Up_N,Up_P,Up_K,Up_Ca,Up_Mg,Up_Na,Up_S,Up_Cl,Up_eq_NH4,Up_eq_NO3,Up_eq_P,Up_eq_S,Up_eq_Cl,Up_eq_K,Up_eq_Ca,Up_eq_Mg,Up_eq_Na,AVrate,NH4in_eq_i,NO3in_eq_i,NH4in_eq_o,NO3in_eq_o,N_eq_fix,N_sur,N_eq_sur,Pin_eq_i,Pin_eq_o,P_sur,P_eq_sur,Kin_eq_i,Kin_eq_o,Sin_eq_i,Sin_eq_o,S_sur,S_eq_sur,S_eq_le,Clin_eq_i,Clin_eq_o,Cl_sur,Cl_eq_sur,Cl_eq_le,Cain_eq_i,Cain_eq_o,Mgin_eq_o,Nain_eq_o,BC_eq_le,BC_eq_sur,H_c_manure,Hin_eq_o,H_eq_in_i,H_eq_in_dep,Up_eq_H,H_eq_le,H_c,HCO3_c,HCO3_eq_le,HCO3_eq_in_o,NO3_eq_le,n_eq_sur,p_eq_sur,s_eq_sur,bc_eq_sur,N_pro,BC_pro,H_pro,HCO3_net_pro,H_total,BC_consum
Mengcheng,1983,CK,0.29,0.06,0.01,0.35,0.14,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,1341.6,1475.76,15.38,3.32,4.1,0.362115421368941,1.02677195234821,0.0139892368543366,1.51495864366386,1.465,5.2,1.2,7.2,1.88314410829231,0.43417618157806,0.0259909423109624,0.913674312148257,17.7,658.76,1054.016,56,4.65,15,1.91,1.99,0.02,0.3,0.01,18.1,1.96,11.7,17.1,4.8,1,2.1,3.4,13,0.326646,6.945,85,0.053,-0.250344615923524,0,8.015,0,-0.0740407729014535,,0,0,0,0,0,28.30776,6.225024,16.126032,3.26488279856203,2.01825709299599,0.0571243531886038,3.38083251923535,28.086396,55.9682496,5.12910536,22.2133872,19.2819052,6.3702092,1.0671912,2.4110616,3.590242,84.2760096,11.35412936,38.3394192,22.546787998562,8.388466292996,1.1243155531886,5.79189411923535,31.676638,0.300985748571429,0.300985748571429,0.0366262237419355,0.0361993382452209,0.0892299661971831,0.0983062030769231,0.11251453664635,0.0690266718205801,0.0048905039158445,0.228034,0,0,0,0,0.607142857142857,49.7239904,0.35517136,0,0,-8.25412936,-0.0266262237419355,0,0,0,0,16.6081058807647,0.103800661754779,0.103800661754779,0,0,-3.276638,-0.00922996619718309,-0.0092299661971831,0,0,0,0,0.44264747336528,-0.00877868836115095,9.66050878989812e-09,0,0,-0.35,-0.122682387275358,0.000370746742896099,1.13501081567231e-07,0.558547344422376,0.182447255866191,0,0.166000268684389,0.35517136,-0.0266262237419355,0.103800661754779,-0.00877868836115095,0.396000268684389,0.122682387275358,-0.350370746742896,0.256488028767645,0.424799937984496,0.377385388824978
Mengcheng,1984,CK,0.29,0.06,0.01,0.35,0.14,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,1175.835,1293.4185,15.38,3.32,4.1,0.362115421368941,1.02677195234821,0.0139892368543366,1.51495864366386,1.465,5.2,1.2,7.2,1.88314410829231,0.43417618157806,0.0259909423109624,0.913674312148257,17.7,721.11,1153.776,28.1496507,9.9,15,1.91,1.99,0.02,0.3,0.01,18.1,1.96,11.7,17.1,4.8,1,2.1,3.4,13,0.450704,6.945,85,0.053,-0.250344615923524,0,8.015,0,-0.0740407729014535,,0,0,0,0,0,24.8101185,5.4558744,14.1335367,2.86148141431662,1.76888590410178,0.0500661999340504,2.96310465507983,24.616105725,41.182340216277,9.40038996,24.3158292,21.1068897,6.9731337,1.1681982,2.6392626,3.9300495,65.992458716277,14.85626436,38.4493659,23.9683711143166,8.74201960410178,1.21826439993405,5.60236725507983,28.546155225,0.235687352558132,0.235687352558132,0.0479234334193548,0.0350147953442489,0.0804117048591549,0.0985881176923077,0.119608618764991,0.0719359769932259,0.00529915894298047,0.228034,0,0,0,0,0.607142857142857,68.007541283723,0.485768152026593,0,0,-11.75626436,-0.0379234334193548,0,0,0,0,16.7976327449202,0.104985204655751,0.104985204655751,0,0,-0.146155224999994,-0.000411704859154913,-0.000411704859154913,0,0,0,0,0.431953516431472,-0.019472645294959,9.66050878989812e-09,0,0,-0.35,-0.132081938770747,0.000511553914666775,1.13501081567231e-07,0.558547344422376,0.251739522320542,0,0.076152048229,0.485768152026593,-0.0379234334193548,0.104985204655751,-0.019472645294959,0.306152048229,0.132081938770747,-0.350511553914667,0.325780295221996,0.413502728307076,0.377385388824977
Mengcheng,1985,CK,0.29,0.06,0.01,0.35,0.14,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,1010.07,1111.077,15.38,3.32,4.1,0.362115421368941,1.02677195234821,0.0139892368543366,1.51495864366386,1.465,5.2,1.2,7.2,1.88314410829231,0.43417618157806,0.0259909423109624,0.913674312148257,17.7,783.46,1253.536,28.1496507,9.9,15,1.91,1.99,0.02,0.3,0.01,18.1,1.96,11.7,17.1,4.8,1,2.1,3.4,13,0.242744,6.945,85,0.053,-0.250344615923524,0,8.015,0,-0.0740407729014535,,0,0,0,0,0,21.312477,4.6867248,12.1410414,2.45808003007122,1.51951471520756,0.0430080466794969,2.5453767909243,21.14581545,44.743126937422,10.21318456,26.4182712,22.9318742,7.5760582,1.2692052,2.8674636,4.269857,66.055603937422,14.89990936,38.5593126,25.3899542300712,9.09557291520756,1.3122132466795,5.4128403909243,25.41567245,0.235912871205079,0.235912871205079,0.0480642237419355,0.0338302524432769,0.0715934435211268,0.0988700323076923,0.126702700883633,0.0748452821658717,0.00570781397011643,0.228034,0,0,0,0,0.607142857142857,67.944396062578,0.4853171147327,0,0,-11.79990936,-0.0380642237419355,0,0,0,0,16.9871596090757,0.106169747556723,0.106169747556723,0,0,2.98432755,0.00840655647887324,0.00840655647887323,0,0,0,0,0.421259559497664,-0.0301666022287671,9.66050878989812e-09,0,0,-0.35,-0.152637909620974,0.00027551706543956,1.13501081567231e-07,0.558547344422376,0.135584016574465,0,0.171374755953042,0.4853171147327,-0.0380642237419355,0.106169747556723,-0.0301666022287671,0.401374755953042,0.152637909620974,-0.350275517065439,0.209624789475919,0.413361937984495,0.377385388824977
Mengcheng,1986,CK,0.29,0.06,0.01,0.35,0.14,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,698.535,768.3885,15.38,3.32,4.1,0.362115421368941,1.02677195234821,0.0139892368543366,1.51495864366386,1.465,5.2,1.2,7.2,1.88314410829231,0.43417618157806,0.0259909423109624,0.913674312148257,17.7,766.69,1226.704,28.1496507,9.9,15,1.91,1.99,0.02,0.3,0.01,18.1,1.96,11.7,17.1,4.8,1,2.1,3.4,13,0.11773,6.945,85,0.053,-0.250344615923524,0,8.015,0,-0.0740407729014535,,0,0,0,0,0,14.7390885,3.2412024,8.3963907,1.69993657252052,1.05085213063205,0.0297431127419509,1.76030847035187,14.623830225,43.785398095183,9.99457084,25.8527868,22.4410163,7.4138923,1.2420378,2.8060854,4.1784605,58.524486595183,13.23577324,34.2491775,24.1409528725205,8.46474443063205,1.27178091274195,4.56639387035187,18.802290725,0.209016023554225,0.209016023554225,0.0426960427096774,0.0285399616896992,0.0529641992253521,0.0878184038461538,0.120469848158693,0.0696543462714013,0.00553194298186272,0.228034,0,0,0,0,0.607142857142857,75.475513404817,0.539110810034407,0,0,-10.13577324,-0.0326960427096774,0,0,0,0,17.8336061296481,0.111460038310301,0.111460038310301,0,0,9.597709275,0.0270358007746479,0.0270358007746479,0,0,0,0,0.443910847566866,-0.00751531415956458,9.66050878989812e-09,0,0,-0.35,-0.159274337633382,0.000133624823329102,1.13501081567231e-07,0.558547344422376,0.0657577788588463,0,0.2397908544464,0.539110810034407,-0.0326960427096774,0.111460038310301,-0.00751531415956458,0.4697908544464,0.159274337633382,-0.350133624823329,0.1397985517603,0.418730119016753,0.377385388824977
Mengcheng,1987,CK,0.29,0.06,0.01,0.35,0.14,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,698.535,768.3885,15.38,3.32,4.1,0.362115421368941,1.02677195234821,0.0139892368543366,1.51495864366386,1.465,5.2,1.2,7.2,1.88314410829231,0.43417618157806,0.0259909423109624,0.913674312148257,17.7,705.845,1129.352,28.1496507,9.9,15,1.91,1.99,0.02,0.3,0.01,18.1,1.96,11.7,17.1,4.8,1,2.1,3.4,13,0.462062,6.945,85,0.053,-0.250344615923524,0,8.015,0,-0.0740407729014535,,0,0,0,0,0,14.7390885,3.2412024,8.3963907,1.69993657252052,1.05085213063205,0.0297431127419509,1.76030847035187,14.623830225,40.3105613983415,9.20139542,23.8010934,20.66008315,6.82552115,1.1434689,2.5833927,3.84685525,55.0496498983415,12.44259782,32.1974841,22.3600197225205,7.87637328063205,1.17321201274195,4.34370117035187,18.470685475,0.196605892494077,0.196605892494077,0.0401374123225807,0.0271481323146992,0.0520300999295775,0.0825576515384615,0.111582512712813,0.0648127815727797,0.00510319182738179,0.228034,0,0,0,0,0.607142857142857,78.9503501016585,0.563931072154704,0,0,-9.34259782,-0.0301374123225806,0,0,0,0,18.0562988296481,0.112851867685301,0.112851867685301,0,0,9.929314525,0.0279699000704225,0.0279699000704225,0,0,0,0,0.463329251173542,0.0119030894471108,9.66050878989812e-09,0,0,-0.35,-0.144740493084578,0.000524445367511181,1.13501081567231e-07,0.558547344422376,0.258083503058492,0,0.0649484257268376,0.563931072154704,-0.0301374123225806,0.112851867685301,0.0119030894471108,0.294948425726838,0.144740493084578,-0.350524445367511,0.332124275959945,0.42128874940385,0.377385388824977
Mengcheng,1988,CK,0.29,0.06,0.01,0.35,0.14,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,698.535,768.3885,15.38,3.32,4.1,0.362115421368941,1.02677195234821,0.0139892368543366,1.51495864366386,1.465,5.2,1.2,7.2,1.88314410829231,0.43417618157806,0.0259909423109624,0.913674312148257,17.7,773.4625,1237.54,28.1496507,9.9,15,1.91,1.99,0.02,0.3,0.01,18.1,1.96,11.7,17.1,4.8,1,2.1,3.4,13,0.206065,6.945,85,0.053,-0.250344615923524,0,8.015,0,-0.0740407729014535,,0,0,0,0,0,14.7390885,3.2412024,8.3963907,1.69993657252052,1.05085213063205,0.0297431127419509,1.76030847035187,14.623830225,44.1721732045488,10.08285715,26.0811555,22.639247375,7.479382375,1.25300925,2.83087275,4.215370625,58.9112617045488,13.32405955,34.4775462,24.3391839475205,8.53023450563205,1.28275236274195,4.59118122035187,18.83920085,0.210397363230531,0.210397363230531,0.0429808372580645,0.0286948826271992,0.0530681714084507,0.0884039646153846,0.121459074542245,0.0701932483491631,0.00557966616690212,0.228034,0,0,0,0,0.607142857142857,75.0887382954512,0.536348130681795,0,0,-10.22405955,-0.0329808372580645,0,0,0,0,17.8088187796481,0.111305117372801,0.111305117372801,0,0,9.56079915,0.0269318285915493,0.0269318285915493,0,0,0,0,0.441749435151282,-0.00967672657514869,9.66050878989812e-09,0,0,-0.35,-0.160892062379981,0.000233886003731515,1.13501081567231e-07,0.558547344422376,0.115097058528397,0,0.188649316662267,0.536348130681795,-0.0329808372580645,0.111305117372801,-0.00967672657514869,0.418649316662266,0.160892062379981,-0.350233886003731,0.18913783142985,0.418445324468366,0.377385388824977
Mengcheng,1989,CK,0.29,0.06,0.01,0.35,0.14,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,387,425.7,15.38,3.32,4.1,0.362115421368941,1.02677195234821,0.0139892368543366,1.51495864366386,1.465,5.2,1.2,7.2,1.88314410829231,0.43417618157806,0.0259909423109624,0.913674312148257,17.7,749.92,1199.872,28.1496507,9.9,15,1.91,1.99,0.02,0.3,0.01,18.1,1.96,11.7,17.1,4.8,1,2.1,3.4,13,0.511592,6.945,85,0.053,-0.250344615923524,0,8.015,0,-0.0740407729014535,,0,0,0,0,0,8.1657,1.79568,4.65174,0.941793114969815,0.582189546056537,0.0164781788044049,0.975240149779427,8.101845,42.827669252944,9.77595712,25.2873024,21.9501584,7.2517264,1.2148704,2.7447072,4.087064,50.993369252944,11.57163712,29.9390424,22.8919515149698,7.83391594605654,1.23134857880441,3.71994734977943,12.188909,0.182119175903371,0.182119175903371,0.0373278616774194,0.0232496709361214,0.0343349549295775,0.0767667753846154,0.114236995433753,0.064463410376931,0.00535607199360901,0.228034,0,0,0,0,0.607142857142857,83.006630747056,0.592904505336114,0,0,-8.47163712,-0.0273278616774194,0,0,0,0,18.6800526502206,0.116750329063879,0.116750329063879,0,0,16.211091,0.0456650450704226,0.0456650450704225,0,0,0,0,0.466562135636068,0.0151359739096378,9.66050878989812e-09,0,0,-0.35,-0.16591076564579,0.000580662453211431,1.13501081567231e-07,0.558547344422376,0.285748353027732,0,0.0189790709272467,0.592904505336114,-0.0273278616774194,0.116750329063879,0.0151359739096378,0.248979070927247,0.16591076564579,-0.350580662453211,0.359789125929186,0.424098300049011,0.377385388824977
Mengcheng,1990,CK,0.29,0.06,0.01,0.35,0.14,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,1193.25,1312.575,15.38,3.32,4.1,0.362115421368941,1.02677195234821,0.0139892368543366,1.51495864366386,1.465,5.2,1.2,7.2,1.88314410829231,0.43417618157806,0.0259909423109624,0.913674312148257,17.7,645,1032,28.1496507,9.9,15,1.91,1.99,0.02,0.3,0.01,18.1,1.96,11.7,17.1,4.8,1,2.1,3.4,13,0.441367,6.854,85,0.053,-0.250344615923524,0,8.015,0,-0.0740407729014535,,0,0,0,0,0,25.177575,5.53668,14.342865,2.90386210449026,1.79508443367432,0.0508077179802486,3.0069904618199,24.98068875,36.8357247015,8.40822,21.7494,18.87915,6.23715,1.0449,2.3607,3.51525,62.0132997015,13.9449,36.092265,21.7830121044903,8.03223443367432,1.09570771798025,5.3676904618199,28.49593875,0.2214760703625,0.2214760703625,0.0449835483870968,0.0335480653863744,0.08027025,0.0925442692307693,0.10870308949793,0.0660953255188177,0.00476606667070143,0.2224648,0,0,0,0,0.607142857142857,71.9867002985,0.514190716417857,0,0,-10.8449,-0.0349835483870968,0,0,0,0,17.0323095381801,0.106451934613626,0.106451934613626,0,0,-0.0959387500000055,-0.000270250000000016,-0.000270250000000014,0,0,0,0,0.455276637906758,0.00385047618032766,9.66050878989812e-09,0,0,-0.35,-0.113306887144748,0.000617731657801907,1.39958732257262e-07,0.452960145294224,0.199921660448076,0,0.149791024502859,0.514190716417857,-0.0349835483870968,0.106451934613626,0.00385047618032766,0.379791024502859,0.113306887144748,-0.350617731657802,0.273962433349529,0.416442613339334,0.377385388824977
Mengcheng,1991,CK,0.3,0.05,0.01,0.35,0.2,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,1398.36,1538.196,15.38,3.32,4.1,0.362115421368941,1.02677195234821,0.0139892368543366,1.51495864366386,1.465,5.2,1.2,7.2,1.88314410829231,0.43417618157806,0.0259909423109624,0.913674312148257,17.7,841.08,1345.728,28.1496507,9.9,15,1.91,1.99,0.02,0.3,0.01,18.1,1.96,11.7,17.1,4.8,1,2.1,3.4,13,0.652852,6.887,85,0.053,-0.250344615923524,0,8.015,0,-0.0740407729014535,,0,0,0,0,0,29.505396,6.4883904,16.8082872,3.40301245542426,2.10364489308429,0.0595411527465832,3.523867741203,29.2746666,48.033785010756,10.96431888,28.3612176,24.6184116,8.1332436,1.3625496,3.0783528,4.583886,77.539181010756,17.45270928,45.1695048,28.0214240554243,10.2368884930843,1.42209075274658,6.602220541203,33.8585526,0.276925646466986,0.276925646466986,0.0562990621935484,0.0412638783825187,0.0953762045070422,0.115819243076923,0.139834443113051,0.0842368935863755,0.00618575485793956,0.2244844,0,0,0,0,0.607142857142857,56.460818989244,0.403291564208886,0,0,-14.35270928,-0.0462990621935484,0,0,0,0,25.397779458797,0.158736121617481,0.158736121617481,0,0,-5.45855259999999,-0.0153762045070422,-0.0153762045070422,0,0,0,0,0.381309054190688,-0.0701171075357426,9.66050878989812e-09,0,0,-0.31,-0.15313718955118,0.000846866081420417,1.29717927098395e-07,0.48871986406595,0.319061740695183,0,-0.0802657375335139,0.403291564208886,-0.0462990621935484,0.158736121617481,-0.0701171075357426,0.169734262466486,0.15313718955118,-0.31084686608142,0.393102513596637,0.405127099532882,0.377385388824977
Mengcheng,1992,CK,0.28,0.05,0.01,0.35,0.18,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,1358.37,1494.207,15.38,3.32,4.1,0.362115421368941,1.02677195234821,0.0139892368543366,1.51495864366386,1.465,5.2,1.2,7.2,1.88314410829231,0.43417618157806,0.0259909423109624,0.913674312148257,17.7,948.365,1517.384,28.1496507,9.9,15,1.91,1.99,0.02,0.3,0.01,18.1,1.96,11.7,17.1,4.8,1,2.1,3.4,13,0.249724,6.916,85,0.053,-0.250344615923524,0,8.015,0,-0.0740407729014535,,0,0,0,0,0,28.661607,6.3028368,16.3276074,3.30569383354405,2.04348530665844,0.0578384076034614,3.42309292572579,28.43747595,54.1607938861055,12.36288614,31.9788678,27.75864355,9.17068955,1.5363513,3.4710159,5.16858925,82.8224008861055,18.66572294,48.3064752,31.0643373835441,11.2141748566584,1.59418970760346,6.89410882572579,33.6060652,0.295794288878948,0.295794288878948,0.060212009483871,0.0430881801607862,0.0946649723943662,0.123862756923077,0.155019399089496,0.0922787480490306,0.0069343441754611,0.2262592,0,0,0,0,0.607142857142857,48.3775991138945,0.345554279384961,0,0,-15.56572294,-0.050212009483871,0,0,0,0,21.9058911742742,0.136911819839214,0.136911819839214,0,0,-5.2060652,-0.0146649723943662,-0.0146649723943662,0,0,0,0,0.349290140587913,-0.102136021138518,9.66050878989812e-09,0,0,-0.31,-0.180130086198041,0.000303012317293516,1.21338885046498e-07,0.522468355252736,0.130472887547134,0,0.0968734179132244,0.345554279384961,-0.050212009483871,0.136911819839214,-0.102136021138518,0.326873417913224,0.180130086198041,-0.310303012317294,0.204513660448588,0.40121415224256,0.377385388824977
