Sitename;Sitename1;Year;Treatments;Treatment;Treats;NUEagro;log_NUE;Ysn;Yield;Noutput;pH;SOC;log_SOC;TN;log_TN;AN;log_AN;TP;log_TP;AP;log_AP;TK;log_TK;AK;log_AK;Clay; Silt;Sand;TCI;TPI;TKI ;TNI;Ratio;PREg;log_PREg;Daynumber;TEMm;SSHg;PM;ST;CT;CT1
25Mengcheng ;Mengcheng ;1983;NPK;NPK;CF;34,1;1,644438589;2;10290;115;7,1;6;0,77815125;0,9;0,278753601;88,3;1,945960704;0,3;3,333333333;11,3;1,053078443;18;1,255272505;108;2,033423755;19;42;37;0;39;112;180;0;1367;3,135768515;10;27;2761;Lacustrine sediment;Lime concretion black soil;W-S;U
25Mengcheng;Mengcheng ;1984;NPK;NPK;CF;33,8;1,641474111;3;10019;114;7,1;6,5;0,812913357;0,9;0,278753601;92,6;1,966610987;0,3;3,333333333;11;1,041392685;18;1,255272505;111,5;2,047274867;19;42;37;0;39;112;180;0;1530;3,184691431;10;28;2749;Lacustrine sediment;Lime concretion black soil;W-S;U
25Mengcheng;Mengcheng ;1985;NPK;NPK;CF;33,5;1,638489257;4;9749;112;7,1;6,5;0,812913357;0,9;0,278753601;92,6;1,966610987;0,3;3,333333333;11;1,041392685;18;1,255272505;111,5;2,047274867;19;42;37;0;39;112;180;0;1389;3,142702246;8;26;2801;Lacustrine sediment;Lime concretion black soil;W-S;U
25Mengcheng;Mengcheng ;1986;NPK;NPK;CF;42,2;1,717670503;5;10402;121;7,1;6,5;0,812913357;0,9;0,278753601;92,6;1,966610987;0,3;3,333333333;11;1,041392685;18;1,255272505;111,5;2,047274867;19;42;37;0;39;112;180;0;1139;3,056523724;7;15;3003;Lacustrine sediment;Lime concretion black soil;W-S;U
25Mengcheng;Mengcheng ;1987;NPK;NPK;CF;39,4;1,693726949;6;9849;113;7,1;7;0,84509804;1;0,301029996;96,8;1,985875357;0,3;3,333333333;10,7;1,029383778;18;1,255272505;115;2,06069784;19;42;37;0;39;112;180;0;1036;3,015359755;10;15;3093;Lacustrine sediment;Lime concretion black soil;W-S;U
25Mengcheng;Mengcheng ;1988;NPK;NPK;CF;43;1,72427587;7;10492;122;7,1;7;0,84509804;1;0,301029996;98,9;1,995196292;0,3;3,333333333;12;1,079181246;18;1,255272505;102;2,008600172;19;42;37;0;39;112;180;0;1016;3,006893708;8;15;3109;Lacustrine sediment;Lime concretion black soil;W-S;U
25Mengcheng;Mengcheng ;1989;NPK;NPK;CF;51;1,785329835;8;11055;130;7,1;7;0,84509804;1;0,301029996;98,9;1,995196292;0,3;3,333333333;12;1,079181246;18;1,255272505;102;2,008600172;19;42;37;0;39;112;180;0;1395;3,144574208;13;15;2525;Lacustrine sediment;Lime concretion black soil;W-S;U
25Mengcheng;Mengcheng ;1990;NPK;NPK;CF;23,8;1,5289167;9;8217;94;7,1;7;0,84509804;1;0,301029996;98,9;1,995196292;0,3;3,333333333;12;1,079181246;18;1,255272505;102;2,008600172;19;42;37;0;39;112;180;0;1262;3,101059355;12;15;2875;Lacustrine sediment;Lime concretion black soil;W-S;U
25Mengcheng;Mengcheng ;1991;NPK;NPK;CF;34,4;1,64738297;10;10447;125;7,1;7;0,84509804;1;0,301029996;101;2,004321374;0,3;3,333333333;13,2;1,120573931;18;1,255272505;89;1,949390007;19;42;37;0;39;112;180;0;1404;3,147367108;5;15;2768;Lacustrine sediment;Lime concretion black soil;W-S;U
25Mengcheng;Mengcheng ;1992;NPK;NPK;CF;40,9;1,706717782;11;11860;140;7,1;7,1;0,851258349;1;0,301029996;95,9;1,981818607;0,3;3,333333333;15,3;1,184691431;18;1,255272505;89,8;1,953276337;19;42;37;0;39;112;180;0;1184;3,073351702;12;15;3018;Lacustrine sediment;Lime concretion black soil;W-S;U
